index,crop_code,Class_Names,Crop_Name,kcal_kg,Erdas_Red,Erdas_Green,Erdas_Blue,ESRI_Red,ESRI_Green,ESRI_Blue,cam_category,group_desc,commodity_desc,class_desc,util_practice_desc,unit_desc,short_desc
75,crop_75,Almonds,ALMONDS-ALL CLASSES,5790,0,0.6471,0.5098,0,168,132,food,,,,,,
68,crop_68,Apples,APPLES-ALL CLASSES,468,0.7294,0,0.3098,185,0,80,food,,,,,,
223,crop_223,Apricots,APRICOTS-ALL CLASSES,446,1,0.5569,0.6667,255,145,171,food,,,,,,
207,crop_207,Asparagus,ASPARAGUS-ALL CLASSES,106,1,0.4,0.4,255,102,102,food,,,,,,
215,crop_215,Avocados,AVOCADOS-ALL CLASSES,1184,0.4,0.6,0.3,102,153,77,food,,,,,,
21,crop_21,Barley,BARLEY-ALL CLASSES,3530,0.8863,0,0.4863,226,0,127,food,FIELD CROPS,BARLEY,ALL CLASSES,ALL UTILIZATION PRACTICES,BU,"BARLEY - PRODUCTION, MEASURED IN BU"
42,crop_42,Dry Beans,"BEANS-DRY EDIBLE, INCL CHICKPEAS",3506,0.6471,0,0,168,0,0,food,FIELD CROPS,BEANS,"DRY EDIBLE, (EXCL CHICKPEAS & LIMA)",ALL UTILIZATION PRACTICES,CWT,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS & LIMA) - PRODUCTION, MEASURED IN CWT"
242,crop_242,Blueberries,BLUEBERRIES-TAME,542,0,0,0.6,0,0,153,food,,,,,,
214,crop_214,Broccoli,BROCCOLI-ALL CLASSES,207,1,0.4,0.4,255,102,102,food,,,,,,
243,crop_243,Cabbage,CABBAGE-ALL CLASSES,200,1,0.4,0.4,255,102,102,food,,,,,,
31,crop_31,Canola,CANOLA-ALL CLASSES,6420,0.8196,1,0,209,255,0,food,FIELD CROPS,CANOLA,ALL CLASSES,ALL UTILIZATION PRACTICES,LB,"CANOLA - PRODUCTION, MEASURED IN LB"
206,crop_206,Carrots,CARROTS-ALL CLASSES,365,1,0.4,0.4,255,102,102,food,,,,,,
244,crop_244,Cauliflower,CAULIFLOWER-ALL CLASSES,98,1,0.4,0.4,255,102,102,food,,,,,,
245,crop_245,Celery,CELERY-ALL CLASSES,138,1,0.4,0.4,255,102,102,food,,,,,,
66,crop_66,Cherries,CHERRIES-SWEET,514,1,0,1,255,0,255,food,,,,,,
1,crop_1,Corn,CORN-ALL CLASSES-GRAIN,3650,1,0.8275,0,255,212,0,food,FIELD CROPS,CORN,ALL CLASSES,GRAIN,BU,"CORN, GRAIN - PRODUCTION, MEASURED IN BU"
2,crop_2,Cotton,"COTTON-PIMA, COTTON-UPLAND",0,1,0.149,0.149,255,38,38,commodity,FIELD CROPS,COTTON,ALL CLASSES,ALL UTILIZATION PRACTICES,BALES,"COTTON - PRODUCTION, MEASURED IN BALES"
250,crop_250,Cranberries,CRANBERRIES-ALL CLASSES,451,1,0.4,0.4,255,102,102,food,,,,,,
50,crop_50,Cucumbers,CUCUMBERS-ALL CLASSES,146,1,0.4,0.4,255,102,102,food,,,,,,
248,crop_248,Eggplants,EGGPLANT-ALL CLASSES,203,1,0.4,0.4,255,102,102,food,,,,,,
32,crop_32,Flaxseed,FLAXSEED-ALL CLASSES,5340,0.498,0.6,1,128,153,255,food,FIELD CROPS,FLAXSEED,ALL CLASSES,ALL UTILIZATION PRACTICES,BU,"FLAXSEED - PRODUCTION, MEASURED IN BU"
208,crop_208,Garlic,GARLIC-ALL CLASSES,1296,1,0.4,0.4,255,102,102,food,,,,,,
69,crop_69,Grapes,GRAPES-ALL CLASSES,557,0.4392,0.2667,0.5373,112,68,137,food,,,,,,
37,crop_37,Other Hay/Non Alfalfa,HAY-ALL CLASSES,,0.6471,0.9529,0.549,165,245,141,food,FIELD CROPS,HAY,(EXCL ALFALFA),ALL UTILIZATION PRACTICES,TONS,"HAY, (EXCL ALFALFA) - PRODUCTION, MEASURED IN TONS"
56,crop_56,Hops,HOPS-ALL CLASSES,,0,0.6863,0.298,0,175,77,food,FIELD CROPS,HOPS,ALL CLASSES,ALL UTILIZATION PRACTICES,LB,"HOPS - PRODUCTION, MEASURED IN LB"
52,crop_52,Lentils,LENTILS-ALL CLASSES,3520,0,0.8667,0.6863,0,222,176,food,FIELD CROPS,LENTILS,ALL CLASSES,ALL UTILIZATION PRACTICES,CWT,"LENTILS - PRODUCTION, MEASURED IN CWT"
227,crop_227,Lettuce,"LETTUCE-HEAD, LETTUCE-LEAF, LETTUCE-ROMAINE",138,1,0.4,0.4,255,102,102,food,,,,,,
209,crop_209,Cantaloupes,MELONS-CANTALOUP,173,1,0.4,0.4,255,102,102,food,,,,,,
48,crop_48,Watermelons,MELONS-WATERMELON,156,1,0.4,0.4,255,102,102,food,,,,,,
29,crop_29,Millet,MILLET-PROSO,3780,0.4431,0,0.2863,115,0,76,food,FIELD CROPS,MILLET,PROSO,ALL UTILIZATION PRACTICES,BU,"MILLET, PROSO - PRODUCTION, MEASURED IN BU"
35,crop_35,Mustard,MUSTARD-ALL CLASSES,251,0,0.6863,0.298,0,175,77,food,FIELD CROPS,MUSTARD,ALL CLASSES,SEED,LB,"MUSTARD, SEED - PRODUCTION, MEASURED IN LB"
218,crop_218,Nectarines,NECTARINES-ALL CLASSES,400,1,0.5569,0.6667,255,145,171,food,,,,,,
28,crop_28,Oats,OATS-ALL CLASSES,3890,0.6275,0.349,0.5373,161,88,137,food,FIELD CROPS,OATS,ALL CLASSES,ALL UTILIZATION PRACTICES,BU,"OATS - PRODUCTION, MEASURED IN BU"
211,crop_211,Olives,OLIVES-ALL CLASSES,985,0.2,0.2863,0.2,52,74,52,food,,,,,,
49,crop_49,Onions,ONIONS-DRY,360,1,0.8,0.4,255,204,102,food,,,,,,
212,crop_212,Oranges,ORANGES-ALL CLASSES,343,0.898,0.4431,0.149,230,117,37,food,,,,,,
67,crop_67,Peaches,PEACHES-ALL CLASSES,374,1,0.5569,0.6667,255,145,171,food,,,,,,
10,crop_10,Peanuts,PEANUTS-ALL CLASSES,5670,0.4392,0.6471,0,112,168,0,food,FIELD CROPS,PEANUTS,ALL CLASSES,ALL UTILIZATION PRACTICES,LB,"PEANUTS - PRODUCTION, MEASURED IN LB"
77,crop_77,Pears,PEARS-ALL CLASSES,513,0.698,0.6078,0.4392,179,156,112,food,,,,,,
53,crop_53,Peas,"PEAS-GREEN, PEAS-DRY EDIBLE, PEAS-AUSTRIAN WINTER",1389,0.3294,1,0,85,255,0,food,FIELD CROPS,PEAS,AUSTRIAN WINTER,ALL UTILIZATION PRACTICES,CWT,"PEAS, AUSTRIAN WINTER - PRODUCTION, MEASURED IN CWT"
74,crop_74,Pecans,PECANS-ALL CLASSES,3662,0.7098,0.4392,0.3569,182,112,92,food,,,,,,
216,crop_216,Peppers,"PEPPERS-CHILE, PEPPERS-BELL",292,1,0.4,0.4,255,102,102,food,,,,,,
204,crop_204,Pistachios,PISTACHIOS-ALL CLASSES,2968,0,1,0.549,0,255,140,food,,,,,,
220,crop_220,Plums,PLUMS-ALL CLASSES,432,1,0.5569,0.6667,255,145,171,food,,,,,,
43,crop_43,Potatoes,POTATOES-ALL CLASSES,578,0.4431,0.149,0,115,38,0,food,,,,,,
210,crop_210,Prunes,PRUNES-ALL CLASSES,2088,1,0.5569,0.6667,255,145,171,food,,,,,,
229,crop_229,Pumpkins,PUMPKINS-ALL CLASSES,182,1,0.4,0.4,255,102,102,food,,,,,,
246,crop_246,Radishes,RADISHES-ALL CLASSES,144,1,0.4,0.4,255,102,102,food,,,,,,
3,crop_3,Rice,RICE-ALL CLASSES,3637,0,0.6588,0.898,0,169,230,food,FIELD CROPS,RICE,ALL CLASSES,ALL UTILIZATION PRACTICES,CWT,"RICE - PRODUCTION, MEASURED IN CWT"
27,crop_27,Rye,RYE-ALL CLASSES,3380,0.6784,0,0.4863,174,1,126,food,FIELD CROPS,RYE,ALL CLASSES,ALL UTILIZATION PRACTICES,BU,"RYE - PRODUCTION, MEASURED IN BU"
33,crop_33,Safflower,SAFFLOWER-ALL CLASSES,2637,0.8392,0.8392,0,214,214,0,food,FIELD CROPS,SAFFLOWER,ALL CLASSES,ALL UTILIZATION PRACTICES,LB,"SAFFLOWER - PRODUCTION, MEASURED IN LB"
