"","state","county","crop","average","event","hyp_loss"
"1","CA","Alameda","Tomatoes",-1.9,"Drought",-2.28
"2","CA","Alpine","Tomatoes",-6.8,"Drought",-8.16
"3","CA","Amador","Tomatoes",-7,"Drought",-8.4
"4","CA","Butte","Tomatoes",-3.8,"Drought",-4.56
"5","CA","Calaveras","Tomatoes",-6.7,"Drought",-8.04
"6","CA","Colusa","Tomatoes",-4.9,"Drought",-5.88
"7","CA","Contra Costa","Tomatoes",-3.4,"Drought",-4.08
"8","CA","Del Norte","Tomatoes",-7.7,"Drought",-9.24
"9","CA","El Dorado","Tomatoes",-6.1,"Drought",-7.32
"10","CA","Fresno","Tomatoes",-9.6,"Drought",-11.52
"11","CA","Glenn","Tomatoes",-5.2,"Drought",-6.24
"12","CA","Humboldt","Tomatoes",-2,"Drought",-2.4
"13","CA","Imperial","Tomatoes",-10.2,"Drought",-12.24
"14","CA","Inyo","Tomatoes",-9.1,"Drought",-10.92
"15","CA","Kern","Tomatoes",-14.2,"Drought",-17.04
"16","CA","Kings","Tomatoes",-5.8,"Drought",-6.96
"17","CA","Lake","Tomatoes",-3.5,"Drought",-4.2
"18","CA","Lassen","Tomatoes",-8.4,"Drought",-10.08
"19","CA","Los Angeles","Tomatoes",-2.7,"Drought",-3.24
"20","CA","Madera","Tomatoes",-10.7,"Drought",-12.84
"21","CA","Mariposa","Tomatoes",-10.7,"Drought",-12.84
"22","CA","Mendocino","Tomatoes",-0.9,"Drought",-1.08
"23","CA","Merced","Tomatoes",-6.9,"Drought",-8.28
"24","CA","Modoc","Tomatoes",-5.7,"Drought",-6.84
"25","CA","Mono","Tomatoes",-5.9,"Drought",-7.08
"26","CA","Monterey","Tomatoes",-3,"Drought",-3.6
"27","CA","Napa","Tomatoes",-1.5,"Drought",-1.8
"28","CA","Nevada","Tomatoes",-4.6,"Drought",-5.52
"29","CA","Orange","Tomatoes",-5.9,"Drought",-7.08
"30","CA","Placer","Tomatoes",-5.6,"Drought",-6.72
"31","CA","Plumas","Tomatoes",-2.6,"Drought",-3.12
"32","CA","Riverside","Tomatoes",-10.1,"Drought",-12.12
"33","CA","Sacramento","Tomatoes",-4.9,"Drought",-5.88
"34","CA","San Benito","Tomatoes",-3.4,"Drought",-4.08
"35","CA","San Bernardino","Tomatoes",-6.7,"Drought",-8.04
"36","CA","San Diego","Tomatoes",-6.8,"Drought",-8.16
