statefp,countyfp,countyns,geoid,name,namelsad,lsad,classfp,mtfcc,csafp,cbsafp,metdivfp,funcstat,aland,awater,intptlat,intptlon,crop_0,crop_1,crop_2,crop_3,crop_4,crop_5,crop_6,crop_10,crop_11,crop_12,crop_13,crop_14,crop_21,crop_22,crop_23,crop_24,crop_25,crop_26,crop_27,crop_28,crop_29,crop_30,crop_31,crop_32,crop_33,crop_34,crop_35,crop_36,crop_37,crop_38,crop_39,crop_41,crop_42,crop_43,crop_44,crop_45,crop_46,crop_47,crop_48,crop_49,crop_50,crop_51,crop_52,crop_53,crop_54,crop_55,crop_56,crop_57,crop_58,crop_59,crop_60,crop_61,crop_66,crop_67,crop_68,crop_69,crop_70,crop_71,crop_72,crop_74,crop_75,crop_76,crop_77,crop_92,crop_111,crop_112,crop_121,crop_122,crop_123,crop_124,crop_131,crop_141,crop_142,crop_143,crop_152,crop_176,crop_190,crop_195,crop_204,crop_205,crop_206,crop_207,crop_208,crop_209,crop_211,crop_212,crop_213,crop_214,crop_216,crop_217,crop_218,crop_219,crop_220,crop_221,crop_222,crop_223,crop_224,crop_225,crop_226,crop_227,crop_229,crop_231,crop_232,crop_233,crop_236,crop_237,crop_238,crop_239,crop_240,crop_241,crop_242,crop_243,crop_244,crop_245,crop_246,crop_247,crop_248,crop_249,crop_250,crop_254
31,039,00835841,31039,Cuming,Cuming County,06,H1,G4020,,,,A,1477645345,10690204,+41.9158651,-096.7885168,0,649877,0,0,230,535434,0,0,0,0,18,0,0,0,0,364,0,0,3,848,19,0,0,0,0,0,0,51555,7278,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,344,0,0,0,0,0,0,0,0,0,0,0,0,12913,0,59089,12223,1754,672,65,42216,1,0,34,134936,10566,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
53,069,01513275,53069,Wahkiakum,Wahkiakum County,06,H1,G4020,,,,A,680976231,61568965,+46.2946377,-123.4244583,30738,25,0,0,0,0,0,0,0,1,0,309,2,0,0,19,0,0,0,3,0,0,0,0,0,0,0,21,1024,0,0,0,0,11,0,0,0,0,0,0,0,0,0,29,0,2,0,0,25,7,0,2831,0,0,0,0,325,0,0,0,0,0,0,0,31780,0,39032,7654,895,160,7479,45106,382374,27968,142213,44947,29203,21983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,10,0
35,011,00933054,35011,De Baca,De Baca County,06,H1,G4020,,,,A,6016818946,29090018,+34.3592729,-104.3686961,0,48,3,0,553,0,0,0,0,0,0,0,8,0,0,12921,0,0,0,0,0,0,0,0,0,0,0,30313,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,5216,0,0,0,0,0,0,0,8,0,0,0,0,5404,0,19381,4050,613,160,2146,0,301,0,1768361,3722017,1370,3587,0,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,109,00835876,31109,Lancaster,Lancaster County,06,H1,G4020,339,30700,,A,2169272970,22847034,+40.7835474,-096.6886584,0,557931,0,0,2507,564856,0,0,0,0,327,0,0,0,0,4476,0,0,439,338,76,0,0,0,0,0,0,20287,23844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,342,0,64,0,0,0,0,0,0,0,0,0,0,0,0,39060,0,102724,119481,55817,26615,666,163043,12,46,0,514018,4122,497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,129,00835886,31129,Nuckolls,Nuckolls County,06,H1,G4020,,,,A,1489645185,1718484,+40.1764918,-098.0468422,0,492281,0,0,12556,307431,0,0,0,0,16,0,0,0,0,51658,0,13,10,1569,0,0,0,0,0,0,0,19906,1842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,369,0,0,0,0,0,0,0,0,0,0,0,0,7140,0,55791,7884,1154,423,195,53263,0,0,15,466373,4217,607,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
46,099,01265772,46099,Minnehaha,Minnehaha County,06,H1,G4020,,43620,,A,2089701444,18188795,+43.6674723,-096.7957261,0,774162,0,0,51,675818,4,0,0,0,0,0,0,0,3751,2384,0,0,1241,5844,281,0,0,0,0,0,0,95368,21338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,17,0,13421,0,0,0,27,0,0,0,0,0,0,0,0,36903,0,124651,52389,37457,16523,1728,32263,0,10,0,302996,44,16767,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
48,327,01383949,48327,Menard,Menard County,06,H1,G4020,,,,A,2336237980,613559,+30.8852677,-099.8588613,0,472,368,0,3019,0,0,0,0,0,0,0,19,0,0,12690,0,0,0,983,0,0,18,0,0,0,0,0,1937,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,18,0,867,0,3441,0,0,0,0,0,0,0,722,0,0,0,0,448,0,40131,2656,648,114,76,16508,18955,0,1969721,656,1275,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
06,091,00277310,06091,Sierra,Sierra County,06,H1,G4020,,,,A,2468694582,23299110,+39.5769252,-120.5219926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14728,1101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,2,0,0,0,0,42,0,0,0,19611,0,21230,6479,2110,814,1079,3319,1507833,1951,783916,88700,20,6744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,053,00516873,21053,Clinton,Clinton County,06,H1,G4020,,,,A,510875757,21152699,+36.7272577,-085.1360977,0,5203,0,0,0,8890,0,0,90,0,0,0,0,0,0,12,0,338,0,0,0,0,0,0,0,0,0,15,76039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,4,0,0,0,0,0,0,0,0,0,65,0,0,19488,0,21392,12656,1894,590,449,285204,314,2080,133,70427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,063,01074044,39063,Hancock,Hancock County,06,H1,G4020,534,22300,,A,1376124980,6021322,+41.0002170,-083.6659471,0,352770,0,0,0,635664,0,0,0,0,1214,0,11,0,0,61061,0,138,189,91,0,0,0,0,0,0,0,13902,1408,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,433,0,0,0,9,9,0,90,0,0,0,0,14,0,0,0,0,0,0,0,9492,0,87138,44760,15666,7816,1767,98668,30,0,72,58822,111,1413,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
