I_COMMODITY_SDESC,crop_type,kcal/kg,FDC ID
"CELERY OTHER THAN CELERIAC, FRESH OR CHILLED",Celery,140,2345298
"HEAD LETTUCE (CABBAGE LETTUCE), FRESH OR CHILLED",Lettuce,140,2345309
"CUCUMBERS AND GHERKINS, FRESH OR CHILLED",Cucumbers,150,168409
"SALAD BEETS, RADISHES, ETC NESOI, FRESH OR CHILLED",Radishes,160,2345323
"LETTUCE, EXCEPT HEAD LETTUCE, FRESH OR CHILLED",Lettuce,170,2345312
"TOMATOES, FRESH OR CHILLED",Tomatoes,200,2345232
"FRUITS OF GENUS CAPSICUM OR PIMENTA, FRESH/CHILLED",Peppers,220,2345319
TOMATO JUICE (DRY WEIGHT CONTENT LESS THAN 7%),Tomatoes,230,2345241
"EDIBLE BRASSICAS (CABBAGES ETC) NESOI, FR OR CHILL",Cabbage,250,2345293
"LEMONS AND LIMES, FRESH OR DRIED",Other citrus fruits,290,2344662
"WATERMELONS, FRESH",Melons,300,2344765
"CRANBERRY JUICE, LINGONBERRY JUICE",Berries,320,2003594
"CAULIFLOWERS AND BROCCOLI, FRESH OR CHILLED",Broccoli and cauliflower,320,2345297
"STRAWBERRIES, UNCOOKED/COOKED BY WATER, FROZEN",Berries,350,2344779
"STRAWBERRIES, FRESH",Berries,360,2346409
"MELONS(EXCEPT WATERMELONS) AND PAPAYAS, FRESH",Melons,360,169092
"ONIONS AND SHALLOTS, FRESH OR CHILLED",Onions,380,2345315
GRAPEFRUIT JUICE OR POMELO JUICE BRIX VALUE GT 20,Other citrus fruits,390,2344670
GRAPEFRUIT JUICE OR POMELO JUICE BRIX VALUE LT=20,Other citrus fruits,390,2344670
"CARROTS AND TURNIPS, FRESH OR CHILLED",Carrots,410,2345173
"PEAS, RAW COOKED IN BOILING WATER, FROZEN",Legumes,420,170012
"GRAPEFRUIT AND POMELOS, FRESH OR DRIED",Other citrus fruits,420,2344659
"BRUSSELS SPROUTS, FRESH OR CHILLED",Cabbage,430,2345292
"PAPAYAS (PAPAWS), FRESH",Tropical fruits,430,2344741
"CUCUMBERS, GHERKINS, PREP/PRES VINEGAR/ACETIC ACID",Cucumbers,440,169379
"PEACHES, INCLUDING NECTARINES, FRESH",Stone fruits,460,2344744
"PLUMS, PRUNE PLUMS AND SLOES, FRESH",Stone fruits,460,2344760
