Food Type,low_1994-98,low_1999-00,low_2001-02,low_2003-04,low_2005-06,low_2007-08,high_1994-98,high_1999-00,high_2001-02,high_2003-04,high_2005-06,high_2007-08
Fruit; total,113,124.36,111.97,126.08,120.7,117.36,133.01,134.66,133.67,126.23,122.69,120.73
Apples; total,25.94,29.79,26.64,33.76,30.91,31.1,29.52,26.74,26.51,27.2,28.38,28.8
Apples from fruit,12.69,12.59,10.16,13.67,12.44,11.91,16.47,16.12,14.75,14.68,14.29,13.89
Apple juice,12.73,16.08,15.21,18.99,17.67,19.31,12.92,11.06,12.14,12.7,14.02,14.34
Bananas,9.62,12.34,9.23,9.39,9.96,9.47,11.88,11.65,11.9,11.24,10.29,10.9
Berries,2.97,3.58,3.67,4.09,4.93,5.46,5.22,6.43,5.61,6.71,6.81,7.38
Grapes,7,7.21,7.22,7.39,8.36,8.75,7.85,8.95,8.39,8.57,9.27,9.55
Melons,3.73,4.35,4.82,3.77,4.09,4.13,5.75,5.6,5.14,5.1,5.2,5.61
Oranges; total,40.92,42.95,37.19,43.72,39.98,34.26,43.05,44.51,46.29,39.63,38.17,33.21
Oranges from fruit,4.17,3.71,3.71,4.49,4.27,3.17,4.1,2.74,3.78,3.03,3.03,2.48
Orange juice,36.81,39.47,33.67,39.46,35.88,31.11,38.93,41.57,42.38,36.45,35.06,30.71
Other citrus fruits,5.03,6.23,5.86,5.23,3.93,5.42,9.47,8.84,8.49,7.51,5.57,6.34
Stone fruits,5.94,5.69,6.71,6.06,6.07,5.87,8.09,9.1,7.95,8.16,7.08,7.78
Tropical fruits,6.37,6.4,5.69,6.35,6.49,6.37,5.57,5.8,6.17,6.05,5.78,5.28
Vegetables; total,157.59,157.81,153.58,159.36,150.16,147.36,179.67,189.86,182.69,182.95,175.59,171.58
Brassica; total,7.73,7.59,8.19,7.63,6.94,7.5,9.02,10.59,9.28,9.49,9.79,10.14
Broccoli and cauliflower,3.04,3.58,2.74,3.52,2.62,3.54,4.41,5.15,4.8,4.8,5.17,5.26
Carrots,4.52,3.88,3.72,3.92,3.8,3.44,6.36,5.36,5.04,4.76,4.46,4.51
Celery,2.5,2.29,2.12,2.37,2.62,2.51,3.3,3.29,3.28,3.01,2.66,2.93
Cucumbers,1.79,2.27,1.88,1.97,1.62,2.25,2.2,2.36,2.56,2.39,2.46,2.28
Green peas,1.63,2.22,1.64,1.54,1.45,1.7,2.18,1.93,1.88,1.83,1.64,1.77
Leafy vegetables; total,0.3,0.44,0.45,0.59,0.78,0.68,0.51,0.81,0.86,1.12,1.26,1.02
Lettuce,9.23,11.38,10.81,10.96,10.66,10.95,16.51,19.77,18.71,19.43,17.49,15.77
Onions,6.68,6.39,6.94,7.37,7.78,7.59,7.47,8.73,8.12,9.1,8.53,9.04
Peppers,5.26,4.91,4.98,5.31,6.13,6.64,5.75,7.23,7.73,8.04,8.17,7.92
Tomatoes,28.97,29.42,28.7,28.91,28.99,28.14,32.42,33.13,32.51,33.44,32.82,32.14
Sweet corn,8.26,6.37,6.32,7.37,6.62,6.04,8.32,8.77,7.67,6.89,7.56,6.36
Potatoes,58.95,57.5,55.83,61.07,50.53,49.31,62.36,63.41,61.13,58.67,55.23,53.78
Snap beans,3.57,3.33,3.21,2.97,3.43,3.26,3.46,4.13,4,4.14,3.94,4.1
