State_Abbr,Year,Crop_Name,Price_Received_USD_kg,Crop_Area_ha,Production_kg,FIPS,kcal_kg,Production_kcal,Production_USD
CA,1998,TOMATOES-ALL CLASSES,0.106907321,130716.3092,8535521712,6,187,1.59614E+12,1317294203
CA,1999,CARROTS-ALL CLASSES,0.343008878,30109.2675,1029173169,6,365,3.75648E+11,541720992.1
CA,1999,TOMATOES-ALL CLASSES,0.097393698,152165.1153,11657598795,6,187,2.17997E+12,1742295471
CA,2000,CARROTS-ALL CLASSES,0.266749566,29906.92028,1025344863,6,365,3.74251E+11,415075929.1
CA,2000,TOMATOES-ALL CLASSES,0.099191034,127478.7535,9910541895,6,187,1.85327E+12,1491844943
CA,2001,CARROTS-ALL CLASSES,0.372663092,29259.40915,995353309.7,6,365,3.63304E+11,539601615.6
CA,2001,TOMATOES-ALL CLASSES,0.093285448,119789.5589,8352578734,6,187,1.56193E+12,1133480554
CA,2002,CARROTS-ALL CLASSES,0.428874893,28773.7758,962313632,6,365,3.51244E+11,629490258.6
CA,2002,TOMATOES-ALL CLASSES,0.089305571,133953.8648,10601363280,6,187,1.98245E+12,1444049301
CA,2003,CARROTS-ALL CLASSES,0.415868526,28935.65358,1027884944,6,365,3.75178E+11,578898784.1
CA,2003,TOMATOES-ALL CLASSES,0.101106653,124645.8924,8855939460,6,187,1.65606E+12,1212596899
CA,2004,CARROTS-ALL CLASSES,0.431983916,28652.36746,1044849310,6,365,3.8137E+11,552758090.1
CA,2004,TOMATOES-ALL CLASSES,0.105584708,130716.3092,11179240104,6,187,2.09052E+12,1445530223
CA,2005,TOMATOES-ALL CLASSES,0.099746132,123027.1145,9216999040,6,187,1.72358E+12,1171505147
CA,2006,CARROTS-ALL CLASSES,0.433155015,28247.67301,995543814,6,365,3.63373E+11,556537984.8
CA,2006,TOMATOES-ALL CLASSES,0.120360393,130716.3092,9686920856,6,187,1.81145E+12,1504736422
CA,2007,CARROTS-ALL CLASSES,0.470344277,28288.14245,982208179.5,6,365,3.58506E+11,486460079.3
CA,2007,TOMATOES-ALL CLASSES,0.1067188,134763.2537,11464096290,6,187,2.14379E+12,1288274928
CA,2008,CARROTS-ALL CLASSES,0.53421876,25900.44516,969008642.1,6,365,3.53688E+11,484606645.4
CA,2008,TOMATOES-ALL CLASSES,0.117059769,127883.448,11253402546,6,187,2.10439E+12,1233201648
CA,2009,CARROTS-ALL CLASSES,0.554362352,25091.05625,901514133,6,365,3.29053E+11,560658171
CA,2009,TOMATOES-ALL CLASSES,0.122300845,140428.9761,12591273642,6,187,2.35457E+12,1727551513
CA,2010,CARROTS-ALL CLASSES,0.596132601,23067.58397,916255870,6,365,3.34433E+11,546209995.1
CA,2010,TOMATOES-ALL CLASSES,0.108361625,124645.8924,11689985321,6,187,2.18603E+12,1266745800
CA,2011,TOMATOES-ALL CLASSES,0.103836499,116147.3088,11428489177,6,187,2.13713E+12,959779536.7
CA,2012,TOMATOES-ALL CLASSES,0.100609191,118980.17,11981191728,6,187,2.24048E+12,945548666.5
CA,2013,TOMATOES-ALL CLASSES,0.126203688,118980.17,11439602340,6,187,2.13921E+12,1116240247
CA,2014,TOMATOES-ALL CLASSES,0.13176302,130028.3286,13171191710,6,187,2.46301E+12,1327542434
CA,2015,TOMATOES-ALL CLASSES,0.122346607,131242.412,13426020047,6,187,2.51067E+12,1427139404
DE,2005,SWEET CORN-ALL CLASSES,0.175366422,4168.352894,59438744.7,10,310,18426010857,13282342.22
DE,2006,SWEET CORN-ALL CLASSES,0.234561668,3156.616754,33729125.5,10,310,10456028905,10210645.75
FL,1999,CUCUMBERS-ALL CLASSES,0.408305437,7041.683529,199099723.4,12,146,29068559616,124749171
FL,2000,CUCUMBERS-ALL CLASSES,0.464138124,6677.458519,229835137.3,12,146,33555930039,161889072.1
FL,2001,CUCUMBERS-ALL CLASSES,0.497863492,6070.416835,185745994.9,12,146,27118915248,134526961.4
FL,2002,CUCUMBERS-ALL CLASSES,0.474904169,6798.866856,195089990.1,12,146,28483138547,141313196.9
FL,2003,CUCUMBERS-ALL CLASSES,0.497370607,7203.561311,187288207.7,12,146,27344078317,126151561.3
FL,2004,CUCUMBERS-ALL CLASSES,0.467758654,6960.744638,178352445.3,12,146,26039457007,102167971.2
FL,2005,CUCUMBERS-ALL CLASSES,0.561933724,6879.805747,167511568.5,12,146,24456689001,119946753.7
FL,2006,BEANS-SNAP,1.079742338,12950.22258,134090878.5,12,273,36606809831,186857465
FL,2006,CUCUMBERS-ALL CLASSES,0.635674151,6636.989073,156734231.2,12,146,22883197755,128584759.1
FL,2007,CUCUMBERS-ALL CLASSES,0.572339708,8903.278025,249629891.3,12,146,36445964123,150445174.1
FL,2008,CUCUMBERS-ALL CLASSES,0.476630475,7527.316876,214004779.1,12,146,31244697749,95487793.69
FL,2009,CUCUMBERS-ALL CLASSES,0.615727888,7405.908539,164926100.2,12,146,24079210629,113922656.1
FL,2010,CUCUMBERS-ALL CLASSES,0.494589846,8660.461352,179023771.9,12,146,26137470697,88543339.75
FL,2011,CUCUMBERS-ALL CLASSES,0.486020483,9105.625253,184385232.5,12,146,26920243945,72479190.97
IL,2009,SWEET CORN-ALL CLASSES,0.163918404,9550.789154,143879511.9,17,310,44602648689,26458094.27
IL,2010,SWEET CORN-ALL CLASSES,0.204674203,9550.789154,116673032.5,17,310,36168640060,23879959.88
IN,1998,TOMATOES-ALL CLASSES,0.1718714,3480.372319,152588505,18,187,28534050435,37859135.68
IN,1999,TOMATOES-ALL CLASSES,0.164039308,3561.31121,206057988.9,18,187,38532843924,51870356.73
IN,2000,TOMATOES-ALL CLASSES,0.151694393,3318.494537,219012590.3,18,187,40955354386,50418796.74
IN,2001,TOMATOES-ALL CLASSES,0.162807964,3925.53622,240558232.4,18,187,44984389459,56973836.09
IN,2002,TOMATOES-ALL CLASSES,0.155709974,3925.53622,243896674.9,18,187,45608678197,57924736.24
IN,2003,TOMATOES-ALL CLASSES,0.173426041,3925.53622,194083147.3,18,187,36293548536,45583137.77
IN,2004,TOMATOES-ALL CLASSES,0.157954485,3925.53622,259463970.7,18,187,48519762512,50190658.48
IN,2005,TOMATOES-ALL CLASSES,0.135295528,3682.719547,249902243,18,187,46731719432,43083620.73
IN,2006,TOMATOES-ALL CLASSES,0.131584442,3561.31121,209559729.5,18,187,39187669417,35587989.77
IN,2007,TOMATOES-ALL CLASSES,0.145461182,3804.127883,273516270,18,187,51147542490,41894602.53
IN,2008,TOMATOES-ALL CLASSES,0.16537247,3723.188992,232420789.8,18,187,43462687693,35981624.29
IN,2009,TOMATOES-ALL CLASSES,0.154605805,4289.76123,296957931.9,18,187,55531133265,51505382.11
