geography,geographic_area_name,total_population,agesex_male_total,agesex_female_total,agesex_male_kids,agesex_male_adults,agesex_female_kids,agesex_female_adults,agesex_kid_total,agesex_adult_total,income_total_population_determined,income_low_income,income_high_income,income_unknown_income,race_total_population_determined,race_black-african_american,race_hispanic-latino,race_white,race_other_race,race_unknown_race
0500000US01001,"Autauga County, Alabama",58239,28206,30033,7461,20745,7516,22517,14977,43262,57790,16266,41524,449,57790,11374,1765,42244,2407,449
0500000US01003,"Baldwin County, Alabama",227131,110781,116350,27590,83191,26383,89967,53973,173158,223772,51560,172212,3359,223772,19109,10066,185712,8885,3359
0500000US01005,"Barbour County, Alabama",25259,13361,11898,2977,10384,2853,9045,5830,19429,22250,10479,11771,3009,22250,10262,1009,10271,708,3009
0500000US01007,"Bibb County, Alabama",22412,12300,10112,2804,9496,2359,7753,5163,17249,21000,8006,12994,1412,21000,4232,603,16018,147,1412
0500000US01009,"Blount County, Alabama",58884,29530,29354,7789,21741,7041,22313,14830,44054,58323,17464,40859,561,58323,621,5599,50190,1913,561
0500000US01011,"Bullock County, Alabama",10386,5658,4728,1672,3986,1268,3460,2940,7446,9908,5288,4620,478,9908,6840,880,1986,202,478
0500000US01013,"Butler County, Alabama",19181,8974,10207,2487,6487,2271,7936,4758,14423,18870,7196,11674,311,18870,8537,308,9534,491,311
0500000US01015,"Calhoun County, Alabama",116425,56079,60346,14627,41452,14190,46156,28817,87608,113294,40384,72910,3131,113294,24078,4555,81173,3488,3131
0500000US01017,"Chambers County, Alabama",34834,16725,18109,3920,12805,4000,14109,7920,26914,34350,13364,20986,484,34350,13801,932,18818,799,484
0500000US01019,"Cherokee County, Alabama",24975,12352,12623,2720,9632,2628,9995,5348,19627,24597,9075,15522,378,24597,1108,432,22476,581,378
0500000US01021,"Chilton County, Alabama",44857,21876,22981,5714,16162,5960,17021,11674,33183,44200,15827,28373,657,44200,3895,3423,35115,1767,657
0500000US01023,"Choctaw County, Alabama",12792,6098,6694,1544,4554,1421,5273,2965,9827,12603,4956,7647,189,12603,5231,130,7096,146,189
0500000US01025,"Clarke County, Alabama",23346,11142,12204,2896,8246,2882,9322,5778,17568,22989,9223,13766,357,22989,10479,326,11803,381,357
0500000US01027,"Clay County, Alabama",14184,6985,7199,1716,5269,1716,5483,3432,10752,13931,5217,8714,253,13931,1842,443,11199,447,253
0500000US01029,"Cleburne County, Alabama",15046,7368,7678,1917,5451,1801,5877,3718,11328,14888,5261,9627,158,14888,365,385,13789,349,158
0500000US01031,"Coffee County, Alabama",53043,26357,26686,7221,19136,6650,20036,13871,39172,52320,16403,35917,723,52320,8812,4265,36179,3064,723
0500000US01033,"Colbert County, Alabama",56789,27602,29187,6991,20611,6308,22879,13299,43490,56225,17176,39049,564,56225,9226,1750,43692,1557,564
0500000US01035,"Conecuh County, Alabama",11778,5751,6027,1533,4218,1204,4823,2737,9041,11736,5008,6728,42,11736,5635,16,5897,188,42
0500000US01037,"Coosa County, Alabama",10442,5426,5016,1193,4233,687,4329,1880,8562,10065,3231,6834,377,10065,3031,274,6506,254,377
0500000US01039,"Covington County, Alabama",37490,18264,19226,4837,13427,4290,14936,9127,28363,36814,13636,23178,676,36814,4380,693,30648,1093,676
0500000US01041,"Crenshaw County, Alabama",13300,6458,6842,1630,4828,1646,5196,3276,10024,13060,4890,8170,240,13060,3232,111,9131,586,240
0500000US01043,"Cullman County, Alabama",87129,43137,43992,11108,32029,10663,33329,21771,65358,86090,27176,58914,1039,86090,840,3916,78518,2816,1039
0500000US01045,"Dale County, Alabama",49443,24632,24811,6516,18116,6039,18772,12555,36888,47886,16838,31048,1557,47886,9979,3186,32587,2134,1557
0500000US01047,"Dallas County, Alabama",39162,18136,21026,5390,12746,5144,15882,10534,28628,38572,17930,20642,590,38572,27768,52,10282,470,590
0500000US01049,"DeKalb County, Alabama",71554,35626,35928,9832,25794,9264,26664,19096,52458,70605,30814,39791,949,70605,978,10825,56189,2613,949
0500000US01051,"Elmore County, Alabama",87146,42451,44695,11431,31020,10234,34461,21665,65481,82377,19669,62708,4769,82377,15870,2575,61431,2501,4769
0500000US01053,"Escambia County, Alabama",36879,18864,18015,4744,14120,4686,13329,9430,27449,33973,15620,18353,2906,33973,9833,840,20992,2308,2906
0500000US01055,"Etowah County, Alabama",103468,50109,53359,12632,37477,11971,41388,24603,78865,102264,35848,66416,1204,102264,15641,4396,79036,3191,1204
0500000US01057,"Fayette County, Alabama",16365,8141,8224,2146,5995,1817,6407,3963,12402,16091,6677,9414,274,16091,2029,79,13536,447,274
0500000US01059,"Franklin County, Alabama",32034,15892,16142,4584,11308,4347,11795,8931,23103,31660,12987,18673,374,31660,1374,5784,23981,521,374
0500000US01061,"Geneva County, Alabama",26604,13083,13521,3387,9696,3139,10382,6526,20078,26318,10840,15478,286,26318,2501,1134,21463,1220,286
0500000US01063,"Greene County, Alabama",7851,3773,4078,904,2869,956,3122,1860,5991,7737,4428,3309,114,7737,6131,201,1340,65,114
0500000US01065,"Hale County, Alabama",14819,7070,7749,2054,5016,1817,5932,3871,10948,14567,6827,7740,252,14567,8643,11,5526,387,252
0500000US01067,"Henry County, Alabama",17165,8195,8970,1931,6264,2114,6856,4045,13120,16673,5488,11185,492,16673,4402,415,11585,271,492
0500000US01069,"Houston County, Alabama",106355,51243,55112,13950,37293,12926,42186,26876,79479,105201,37385,67816,1154,105201,28681,3686,68695,4139,1154
