crop,max_produced_county,max_produced_kcal,min_produced_county,min_produced_kcal,max_consumed_county,max_consumed_kcal,min_consumed_county,min_consumed_kcal
Corn,"Iroquois County, Illinois",34566526977.299736,"Apache County, Arizona",0,"Los Angeles County, California",238323196592.30115,"Loving County, Texas",1852489.458633596
Rice ,"Colusa County, California",337098308186.8395,"Autauga County, Alabama",0,"Los Angeles County, California",182964608360.0308,"Loving County, Texas",1507681.1998170195
Peanuts,"Mitchell County, Georgia",180771085035.9393,"Bibb County, Alabama",0,"Los Angeles County, California",179074407818.02252,"Loving County, Texas",1638311.0599266072
Sweet corn,"Grant County, Washington",46798636468.3896,"Autauga County, Alabama",0,"Los Angeles County, California",6934656321.651555,"Loving County, Texas",58283.98331874207
Wheat,"Whitman County, Washington",885882644040.7771,"Bibb County, Alabama",0,"Los Angeles County, California",1473580234589.8682,"Loving County, Texas",12544976.97983943
Oat,"Aroostook County, Maine",44981082511.662415,"Bibb County, Alabama",0,"Los Angeles County, California",51203353396.82359,"Loving County, Texas",463094.1552060561
Potatoes,"Bingham County, Idaho",247090799219.6281,"Autauga County, Alabama",0,"Los Angeles County, California",128157516618.65724,"Loving County, Texas",1087497.4710748012
Onions,"Malheur County, Oregon",54131635100.293,"Autauga County, Alabama",0,"Los Angeles County, California",15960115437.66569,"Loving County, Texas",138578.1659439195
Cucumbers,"Hillsborough County, Florida",3878733450.146374,"Autauga County, Alabama",0,"Los Angeles County, California",1697416963.2609124,"Loving County, Texas",14114.06876742338
Green peas,"Williams County, North Dakota",26777761538.935123,"Autauga County, Alabama",0,"Los Angeles County, California",10040853966.834623,"Loving County, Texas",84127.67784656887
Tomatoes,"Fresno County, California",254569458426.2829,"Autauga County, Alabama",0,"Los Angeles County, California",24786219918.811344,"Loving County, Texas",212911.53866597507
Apples,"Yakima County, Washington",375809405125.6268,"Autauga County, Alabama",0,"Los Angeles County, California",58449726048.18536,"Loving County, Texas",473381.3321790411
Grapes,"Fresno County, California",125143149002.6019,"Autauga County, Alabama",0,"Los Angeles County, California",19737569549.647736,"Loving County, Texas",167517.86426279251
Other citrus fruits,"Riverside County, California",60626813488.49201,"Autauga County, Alabama",0,"Los Angeles County, California",10278320243.33369,"Loving County, Texas",88835.7985396554
Carrots,"Imperial County, California",54185256551.65911,"Autauga County, Alabama",0,"Los Angeles County, California",6821693448.446441,"Loving County, Texas",60634.77884337678
Oranges,"Tulare County, California",219518977021.9202,"Autauga County, Alabama",0,"Los Angeles County, California",34624324371.41064,"Loving County, Texas",284249.640656014
Peppers,"Riverside County, California",66576420180.70911,"Autauga County, Alabama",0,"Los Angeles County, California",11462666407.423853,"Loving County, Texas",99564.29649113644
Lettuce,"Imperial County, California",134315163909.81578,"Autauga County, Alabama",0,"Los Angeles County, California",8926121612.839983,"Loving County, Texas",81052.21531753073
Cabbage,"Imperial County, California",33849055140.714264,"Autauga County, Alabama",0,"Los Angeles County, California",4871771219.936956,"Loving County, Texas",42661.70570149508
Celery,"Mason County, Michigan",7342592166.755056,"Autauga County, Alabama",0,"Los Angeles County, California",1288241910.08407,"Loving County, Texas",11128.426162459758
Radishes,"Huron County, Michigan",16359791191.511904,"Autauga County, Alabama",0,"Los Angeles County, California",1605227645.512812,"Loving County, Texas",14056.8483832986
Tree nuts,"Fresno County, California",425642355679.86615,"Autauga County, Alabama",0,"Los Angeles County, California",85819323980.0193,"Loving County, Texas",861426.0220339631
Other grain,"Rio Grande County, Colorado",267217950880.95105,"Autauga County, Alabama",0,"Los Angeles County, California",217656575744.0796,"Loving County, Texas",1882233.6480961249
Broccoli and cauliflower,"Imperial County, California",116621911907.98357,"Autauga County, Alabama",0,"Los Angeles County, California",4467559358.151653,"Loving County, Texas",40842.42800575559
Stone fruits,"Alameda County, California",298479092254.4768,"Autauga County, Alabama",0,"Los Angeles County, California",20275848576.361908,"Loving County, Texas",180682.458806558
Berries,"Philadelphia County, Pennsylvania",167061456787.49802,"Autauga County, Alabama",0,"Los Angeles County, California",22943909857.441807,"Loving County, Texas",205390.1723745264
Legumes,"Walsh County, North Dakota",203575314799.3072,"Autauga County, Alabama",0,"Los Angeles County, California",110267236967.53224,"Loving County, Texas",919078.2907393652
Melons,"Broward County, Florida",31696922956.524258,"Autauga County, Alabama",0,"Los Angeles County, California",4782241711.036903,"Loving County, Texas",42858.531940813766
Bananas,"New Castle County, Delaware",483238517112.83777,"Autauga County, Alabama",0,"Los Angeles County, California",52816429668.21963,"Loving County, Texas",454599.70116938686
Tropical fruits,"Los Angeles County, California",71024403426.74156,"Autauga County, Alabama",0,"Los Angeles County, California",15104831510.438805,"Loving County, Texas",118165.71486594218
