,Unnamed: 0,statefp,countyfp,countyns,geoid,name,namelsad,lsad,classfp,mtfcc,csafp,cbsafp,metdivfp,funcstat,aland,awater,intptlat,intptlon,pixels_Corn,pixels_Rice,pixels_Peanuts,pixels_Sweet corn,pixels_Wheat,pixels_Oats,pixels_Potatoes,pixels_Onions,pixels_Cucumbers,pixels_Green peas,pixels_Tomatoes,pixels_Apples,pixels_Grapes,pixels_Other citrus fruits,pixels_Carrots,pixels_Oranges,pixels_Peppers,pixels_Lettuce,pixels_Cabbage,pixels_Celery,pixels_Radishes,state,postal,kcal_heat_Corn,kg_heat_Corn,kcal_heat_Rice,kg_heat_Rice,kcal_heat_Peanuts,kg_heat_Peanuts,kcal_heat_Sweet corn,kg_heat_Sweet corn,kcal_heat_Wheat,kg_heat_Wheat,kcal_heat_Oats,kg_heat_Oats,kcal_heat_Potatoes,kg_heat_Potatoes,kcal_heat_Onions,kg_heat_Onions,kcal_heat_Cucumbers,kg_heat_Cucumbers,kcal_heat_Green peas,kg_heat_Green peas,kcal_heat_Tomatoes,kg_heat_Tomatoes,kcal_heat_Apples,kg_heat_Apples,kcal_heat_Grapes,kg_heat_Grapes,kcal_heat_Other citrus fruits,kg_heat_Other citrus fruits,kcal_heat_Carrots,kg_heat_Carrots,kcal_heat_Oranges,kg_heat_Oranges,kcal_heat_Peppers,kg_heat_Peppers,kcal_heat_Lettuce,kg_heat_Lettuce,kcal_heat_Cabbage,kg_heat_Cabbage,kcal_heat_Celery,kg_heat_Celery,kcal_heat_Radishes,kg_heat_Radishes,pixels_Tree nuts,kcal_heat_Tree nuts,kg_heat_Tree nuts,pixels_Other grain,kcal_heat_Other grain,kg_heat_Other grain,pixels_Broccoli and cauliflower,kcal_heat_Broccoli and cauliflower,kg_heat_Broccoli and cauliflower,pixels_Stone fruits,kcal_heat_Stone fruits,kg_heat_Stone fruits,pixels_Berries,kcal_heat_Berries,kg_heat_Berries,pixels_Legumes,kcal_heat_Legumes,kg_heat_Legumes,pixels_Melons,kcal_heat_Melons,kg_heat_Melons,pixels_Bananas,kcal_heat_Bananas,kg_heat_Bananas,pixels_Tropical fruits,kcal_heat_Tropical fruits,kg_heat_Tropical fruits
0,0,31,39,835841,31039,Cuming,Cuming County,6,H1,G4020,,,,A,1477645345,10690204,41.9158651,-96.7885168,649877,0,0,0,364,848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nebraska,NE,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0.0,0.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1,1,31,109,835876,31109,Lancaster,Lancaster County,6,H1,G4020,339.0,30700.0,,A,2169272970,22847034,40.7835474,-96.6886584,557931,0,0,0,4476,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nebraska,NE,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,439,115984883.3332316,34315.05424060107,0,,,0,,,0,,,0,,,0,,,0,,,0,,
2,2,31,129,835886,31129,Nuckolls,Nuckolls County,6,H1,G4020,,,,A,1489645185,1718484,40.1764918,-98.0468422,492281,0,0,0,51658,1569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nebraska,NE,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0.0,0.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,
3,3,31,101,835872,31101,Keith,Keith County,6,H1,G4020,,,,A,2749903240,124629167,41.1942448,-101.6444493,489931,0,0,0,130044,7521,0,0,0,7954,0,0,0,0,0,0,0,0,0,0,0,Nebraska,NE,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,4131,1241564035.9255931,365753.9647425782,0,,,0,,,0,,,4779,,,0,,,0,,,0,,
4,4,31,137,835890,31137,Phelps,Phelps County,6,H1,G4020,,,,A,1398048634,1646526,40.5163647,-99.4065568,719100,0,0,0,7193,757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nebraska,NE,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0.0,0.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,
5,5,31,181,835912,31181,Webster,Webster County,6,H1,G4020,,,,A,1489017943,337241,40.1806461,-98.4985897,385893,0,0,0,73217,2334,0,0,0,369,0,0,0,0,0,0,0,0,0,0,0,Nebraska,NE,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,511,131873151.94073844,39015.72542625398,0,,,0,,,0,,,0,,,0,,,0,,,0,,
6,6,31,43,835843,31043,Dakota,Dakota County,6,H1,G4020,,43580.0,,A,684472104,8143818,42.3916244,-96.561327,266805,0,0,0,333,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nebraska,NE,,,,,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0.0,0.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,
7,7,31,15,835829,31015,Boyd,Boyd County,6,H1,G4020,,,,A,1398424239,11893569,42.8944477,-98.7730221,149807,0,0,0,3928,12202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nebraska,NE,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,2649,704385701.18353,208398.13644483135,0,,,0,,,0,,,2005,,,0,,,0,,,0,,
8,8,31,171,835907,31171,Thomas,Thomas County,6,H1,G4020,,,,A,1845564903,2028433,41.8557296,-100.5247028,1845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nebraska,NE,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,1189,317378041.7911703,93898.8289322989,0,,,0,,,0,,,0,,,0,,,0,,,0,,
9,9,31,89,835866,31089,Holt,Holt County,6,H1,G4020,,,,A,6248078947,13204331,42.4592867,-98.7847662,760575,0,0,0,7529,21308,0,0,0,780,0,0,0,0,0,0,0,0,0,0,0,Nebraska,NE,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,5492,1501529185.863206,444239.4041015403,0,,,0,,,0,,,19505,,,0,,,0,,,0,,
