,crop_code,cdl_name,production_name,final_name,kcal_kg,red,green,blue,rollup,total_pixels,Crop_Area_ha,Production_kg,Production_kcal,Production_USD,Price_Received_USD_kg,kcal_pixel_national
1,crop_68,Apples,APPLES-ALL CLASSES,Apples,468.0,185,0,80,,1022936,138096.31728045322,5307200775.0,2483769962700.0,3535387658.850834,0.9975135120294705,2428079.5305864685
2,crop_223,Apricots,APRICOTS-ALL CLASSES,Apricots,446.0,255,145,171,,1515,4621.610683933633,41419345.545,18473028113.07,41759383.37821672,1.137217515,12193417.89641584
3,crop_207,Asparagus,ASPARAGUS-ALL CLASSES,Asparagus,106.0,255,102,102,,5020,11027.923917442331,39512399.120000005,4188314306.7200003,96511232.22732356,2.66145931942,834325.5591075697
5,crop_21,Barley,BARLEY-ALL CLASSES,Barley,3530.0,226,0,127,,872121,840820.180763524,3265838227.6000004,11528408943428.0,605805985.2832972,0.16161420667481252,13218818.195443064
6,crop_42,Dry Beans,"BEANS-DRY EDIBLE, INCL CHICKPEAS",Dry Beans,3506.0,168,0,0,crop_42; crop_51,53993,845932.8207203569,1692397111.1999998,5933544271867.199,982747146.7025406,0.7496448165394737,109894695.08764468
7,crop_242,Blueberries,BLUEBERRIES-TAME,Blueberries,542.0,0,0,153,,331662,34488.061513557266,236373947.09999996,128114679328.19998,774765104.62044,4.576440515092461,386280.85016733897
8,crop_214,Broccoli,BROCCOLI-ALL CLASSES,Broccoli,207.0,255,102,102,,5170,52407.93201133145,927777076.8,192049854897.6,866857829.978412,0.9447550428800001,37146973.868007734
9,crop_243,Cabbage,CABBAGE-ALL CLASSES,Cabbage,200.0,255,102,102,,33785,26968.83852691218,1178295938.4,235659187680.0,432796795.01871276,0.35130689814000005,6975260.845937546
10,crop_31,Canola,CANOLA-ALL CLASSES,Canola,6420.0,209,255,0,,520596,810198.300283286,1385658989.1,8895930710022.0,488988795.44165283,0.34921250496,17087973.611057326
11,crop_206,Carrots,CARROTS-ALL CLASSES,Carrots,365.0,255,102,102,,49125,36815.05463375153,1611340275.65,588139200612.25,717182159.585512,0.24900021858504684,11972299.249104327
12,crop_244,Cauliflower,CAULIFLOWER-ALL CLASSES,Cauliflower,98.0,255,102,102,,4026,18963.982193443975,417735552.4,40938084135.2,392360025.83527184,1.1160911025,10168426.263089914
13,crop_245,Celery,CELERY-ALL CLASSES,Celery,138.0,255,102,102,,318,13031.161473087792,741577560.8,102337703390.4,306277516.19144535,0.36008865199999995,321816677.32830185
14,crop_66,Cherries,CHERRIES-SWEET,Cherries,514.0,255,0,255,,230253,38377.175232699345,400748973.75,205984972507.5,852857058.8039991,2.374745331,894602.7739377988
15,crop_1,Corn,CORN-ALL CLASSES-GRAIN,Corn,3650.0,255,212,0,,140748510,33481586.402266283,371096469088.4,1354502112172660.0,46259243441.05639,0.1473619651202439,9623562.708924308
16,crop_250,Cranberries,CRANBERRIES-ALL CLASSES,Cranberries,451.0,255,102,102,,12425,16147.308781869688,380747392.76,171717074134.76,236670085.8122243,0.7328171505600001,13820287.656721128
17,crop_50,Cucumbers,CUCUMBERS-ALL CLASSES,Cucumbers,146.0,255,102,102,,31743,49753.136382031604,892882257.18,130360809548.28,391391539.9981474,0.5315384683764706,4106757.6961308005
18,crop_248,Eggplants,EGGPLANT-ALL CLASSES,Eggplants,203.0,255,102,102,,1432,2339.1339538648326,76384892.80000001,15506133238.4,60822595.78227064,0.6106809588,10828305.334078211
19,crop_32,Flaxseed,FLAXSEED-ALL CLASSES,Flaxseed,5340.0,128,153,255,,15666,111290.97531363826,98658260.8,526835112672.0,34208705.71971226,0.35293608333500004,33629204.17924167
20,crop_208,Garlic,GARLIC-ALL CLASSES,Garlic,1296.0,255,102,102,,10126,13678.672602185365,235323529.6,304979294361.60004,366351329.3027179,1.4642380389999998,30118437.12834288
21,crop_69,Grapes,GRAPES-ALL CLASSES,Grapes,557.0,112,68,137,,559516,404795.62929987814,6705140412.750001,3734763209901.7505,6083586835.297705,1.0893982140000003,6674989.115417165
22,crop_52,Lentils,LENTILS-ALL CLASSES,Lentils,3520.0,0,222,176,,408492,413597.73371104756,339377534.4,1194608921088.0,176295578.11403805,0.5864300904,2924436.5154960193
23,crop_227,Lettuce,LETTUCE-HEAD,Lettuce,138.0,255,102,102,LETTUCE-HEAD; LETTUCE-LEAF; LETTUCE-ROMAINE,2014,135022.25819506258,4595998260.4,617134822396.0,4001478533.5296526,0.5938604911555556,306422454.019861
24,crop_209,Cantaloupes,MELONS-CANTALOUP,Cantaloupes,173.0,255,102,102,,7886,26835.289356535788,719251762.56,124430554922.87999,283357891.14193684,0.4828127436,15778665.346548311
25,crop_48,Watermelons,MELONS-WATERMELON,Watermelons,156.0,255,102,102,,78758,48502.63051396195,1936270850.0,302058252600.0,561506261.6638594,0.2880709216,3835270.7356712967
26,crop_29,Millet,MILLET-PROSO,Millet,3780.0,115,0,76,,1471295,163091.8656414411,330922914.0,1250888614920.0,46142911.92937225,0.15477368744,850195.6541142327
27,crop_35,Mustard,MUSTARD-ALL CLASSES,Mustard,251.0,0,175,77,,20737,20234.7227842979,22448745.0,5634634995.0,0.0,,271718.9079905483
28,crop_218,Nectarines,NECTARINES-ALL CLASSES,Nectarines,400.0,255,145,171,,37,6879.805746661267,128684192.25,51473676900.0,120524224.8976284,1.0543604715,1391180456.7567568
