,State_Abbr,Year,Crop_Name,Price_Received_USD_kg,Crop_Area_ha,Production_kg,FIPS,kcal_kg,Production_kcal,Production_USD,crop_code,state_pixels,kcal_pixel_state
0,CA,2017,TOMATOES-ALL CLASSES,0.1069242834,100242.816673412,10055749086.8,6,187.0,1880425079231.6,1003434910.62176,crop_54,562888.0,3340673.596224471
1,CA,2017,CARROTS-ALL CLASSES,0.6481595736,23674.6256576285,981799884.0,6,365.0,358356957660.0,593886354.266189,crop_206,129418.0,2768988.530652614
2,CA,2017,BARLEY-ALL CLASSES,0.22138119738,11736.1392148928,31569980.0,6,3530.0,111442029400.0,6522490.70471607,crop_21,478593.0,232853.44624764676
3,CA,2017,"BEANS-DRY EDIBLE, INCL CHICKPEAS",1.3492301328,20113.3144475921,47400364.0,6,3506.0,166185676184.0,59685129.2434347,crop_42,0.0,
4,CA,2017,CORN-ALL CLASSES-GRAIN,0.1653465198,32375.5564548766,339360032.0,6,3650.0,1238664116800.0,52366576.2534791,crop_1,464094.0,2668994.033105362
5,CA,2017,OATS-ALL CLASSES,0.1997933163,4046.94455685957,9434750.0,6,3890.0,36701177500.0,1759177.98909255,crop_28,452757.0,81061.5352164627
6,CA,2017,ORANGES-ALL CLASSES,0.506787479951719,61513.5572642655,1752681420.0,6,343.0,601169727060.0,828948003.708282,crop_212,743578.0,808482.4013889598
7,CA,2017,POTATOES-ALL CLASSES,0.462971124,16875.7588021044,811657524.8,6,578.0,469138049334.4,350691430.658324,crop_43,21227.0,22101005.763150707
8,CA,2017,RICE-ALL CLASSES,0.4475387532,179279.643868879,1690854898.4,6,3637.0,6149639265480.8,706212528.145113,crop_3,1806293.0,3404563.526227915
9,CA,2008,SORGHUM-ALL CLASSES-GRAIN,0.1388913372,3642.25010117361,21718026.0,6,3290.0,71452305540.0,2823827.00895933,crop_4,38359.0,1862725.9714799656
10,CA,2017,SUGARBEETS-ALL CLASSES,0.0525802347,9874.54471873735,967059210.0,6,700.0,676941447000.0,47454130.0050685,crop_41,34866.0,19415517.897091724
11,CA,2017,SWEET POTATOES-ALL CLASSES,0.5224959828,8498.5835694051,295288392.0,6,619.0,182783514648.0,143988484.466676,crop_46,29689.0,6156607.317457644
12,CA,2017,WHEAT-ALL CLASSES,0.19915121714,73654.3909348442,337581062.0,6,3338.0,1126845584956.0,62742160.6087007,crop_22,609821.0,1847830.0762945192
13,CA,2017,ALMONDS-ALL CLASSES,5.57870829626,416835.289356536,1029467700.0,6,5790.0,5960617983000.0,5359753398.06537,crop_75,5499909.0,1083766.6555937561
14,CA,2017,PISTACHIOS-ALL CLASSES,3.72648894098,101173.613921489,272242053.0,6,2968.0,808014413304.0,946789598.058732,crop_204,1775161.0,455178.10119983484
15,CA,2017,WALNUTS-ENGLISH,2.74475439,135572.642654796,571526550.0,6,2943.0,1682002636650.0,1463990735.93462,crop_76,2344875.0,717310.1494322725
16,CA,2017,APRICOTS-ALL CLASSES,1.041683895,4168.35289356536,33565845.0,6,446.0,14970366870.0,32631118.8130007,crop_223,0.0,
17,CA,2017,ASPARAGUS-ALL CLASSES,3.819511773,3237.55564548766,9071840.0,6,106.0,961615040.0,32337144.3269383,crop_207,735.0,1308319.7823129252
18,CA,2017,BROCCOLI-ALL CLASSES,0.9843647946,48158.6402266289,863639168.0,6,207.0,178773307776.0,793390202.872324,crop_214,25935.0,6893129.27611336
19,CA,2017,CABBAGE-ALL CLASSES,0.6349318272,5868.06960744638,249929192.0,6,200.0,49985838400.0,148095721.759111,crop_243,7884.0,6340162.151192288
20,CA,2017,CAULIFLOWER-ALL CLASSES,0.9083052528,16228.2476730069,363780784.0,6,98.0,35650516832.0,308368501.503154,crop_244,4399.0,8104232.06001364
